Author|Title|Year|Rating
Anne Lamott|Bird by Bird|2007-12-18|4.6
David Allen|Getting Things Done|2001|4.5
Ed Catmull|Creativity, Inc. (The Expanded Edition)|2014-04-08|4.7
Felicia Day|Embrace Your Weird|2019-10-01|4.7
Gary Keller|The One Thing|2013|4.6
James Clear|Atomic Habits|2018|4.8
Kim Perell|Jump: Dare to Do What Scares You in Business and Life|2021-11-16|4.6
Kim Perell|Mistakes that Made Me a Millionaire|2025-08-12|unrated
Kim Perell|The Execution Factor: The One Skill that Drives Success|2018-09-07|4.5
Morgan Housel|The Psychology of Money|2020-09-08|4.7
Napoleon Hill|Think and Grow Rich|2007|4.8
Rainer Maria Rilke|Letters to a Young Poet|2014|4.6
Robert T Kiyosaki|Rich Dad Poor Dad|2019-06-19|4.4
Steven Pressfield|The War of Art|2002-06-03|4.5
T. Harv Eker|Secrets of the Millionaire Mind|2009-10-13|4.7
Verne Harnish|12 Habits of Valuable Employees|2024-01-16|4.4
Eric Ries|The Lean Startup|2011-09-13|4.6
Jake Knapp|Sprint (Republish)|2018-07-19|4.6
Marty Cagan|Inspired|2017-11-20|4.6
Andrew S. Grove|High Output Management|2015-11-18|4.6
Ben Horowitz|The Hard Thing About Hard Things|2014-03-04|4.6
John Doerr|Measure What Matters|2018-04-24|4.5
Alejandro Cremades|The Art of Startup Fundraising|2016-03-31|4.4
Brad Feld|Venture Deals|2012-12-12|4.8
Jason Calacanis|Angel|2017-07-18|4.6
Alex Hormozi|$100M Offers: How to Make Offers So Good People Feel Stupid Saying No|2021-07-13|4.9
Jason Fladlien|One to Many|2018-05-23|4.8
Jeff Thull|Mastering the Complex Sale|2010-03-10|4.5
Russell Brunson|Expert Secrets|2017-06-02|4.7
Dale Carnegie|How to Win Friends and Influence People|2024-02-17|4.7
Noah Goldstein|Yes!|2017-04-06|4.5
Robert B. Cialdini, PhD|Influence|2009-06-02|4.7
Robert Cialdini|Pre-Suasion|2016-09-06|4.5
Frances Frei|Uncommon Service|2012-01-17|4.5
Frederic Laloux|Reinventing Organizations|2014|4.6
General Stanley McChrystal|Team of Teams|2015-05-12|4.6
James M. Kouzes|The Leadership Challenge|2006-03-06|4.6
John Wooden|Wooden on Leadership|2005-04-26|4.8
Patrick M. Lencioni|The Motive|2020-02-19|4.7
Steve Anderson|The Bezos Letters|2020-03|4.5
Adam Grant|Give and Take|2014-03-25|4.5
Keith Ferrazzi|Never Eat Alone, Expanded and Updated|2014-06-03|4.4
Scott Gerber|Superconnector|2018-02-27|4.2
Constance E. Bagley|The Entrepreneur's Guide to Business Law|2003|
Guy Kawasaki|The Art of the Start 2.0|2015-03-03|4.6
Steve Blank|The Startup Owner's Manual|2020-03-17|4.6
Aaron Ross|Predictable Revenue|2011-05|4.4
Alisa Cohn|From Start-Up to Grown-Up|2021-10-03|4.8
Dan Martell|Buy Back Your Time|2023-01-17|4.7
Dave Power|The Curve Ahead|2014-07-29|4.7
Gino Wickman|Traction|2012-04-03|4.6
Jim Collins|Good to Great|2011-07-19|4.5
Mark Roberge|The Sales Acceleration Formula|2015-02-03|4.6
Michael E. Gerber|The E-Myth Revisited|2009-03-17|4.6
Michael Masterson|Ready, Fire, Aim|2008-01-07|4.6
Nathan R. Furr|Nail it Then Scale it|2011|4.5
Peter Thiel|Zero to One|2014-09-16|4.5
Sage Lavine|Women Rocking Business|2017-09-26|4.6
Verne Harnish|Mastering the Rockefeller Habits|2023-09-20|4.5
Verne Harnish|Scaling Up|2014|4.6
Kelly McGonigal|The Upside of Stress|2016-05-10|4.6
Ryan Holiday|The Obstacle Is the Way|2014-05-01|4.7
Sheryl Sandberg|Sheryl Sandberg and Adam Grant on Option B: Building Resilience|2018|4.4
Andrew Howell|Entrusted|2015-11-01|4.7
